Gene Name	Accession-1	Left-End-Position	Right-End-Position	Product	Names	Component-Of	Locations
yfjJ	b2626	2760547	2761173	CP4-57 prophage; protein YfjJ	yfjJ // b2626 // ECK2622		
yfjM	b2629	2765513	2765776	CP4-57 prophage; protein YfjM	yfjM // b2629 // ECK2625		
yfjP	b2632	2767710	2768573	CP4-57 prophage; putative GTP-binding protein YfjP	yfjP // b2632 // ECK2628		cytosol
yfjQ	b2633	2768665	2769486	CP4-57 prophage; DUF932 domain-containing protein YfjQ	yfjQ // b2633 // ECK2629		cytosol
yfjR	b2634	2769703	2770404	CP4-57 prophage; putative DNA-binding transcriptional regulator YfjR	yfjR // b2634 // ECK2630		cytosol
yfjS	b2636	2770681	2771124	CP4-57 prophage; inner membrane lipoprotein YfjS	yfjS // b2636 // ECK2632		inner membrane
yfjT	b2637	2771148	2771615	CP4-57 prophage; uncharacterized protein YfjT	yfjT // b2637 // ECK2633		
yfjU	b2638	2771840	2772154	CP4-57 prophage; putative arsenate reductase-like protein YfjU	yfjU // b2638 // ECK2634		cytosol
yfjV	b2641	2772167	2773182	CP4-57 prophage; putative arsenite transporter	yfjV // ypjM // ypjL // ECK2637 // ECK2636 // b2640 // b2639 // b2641 // ECK2635		
yfjW	b2642	2773318	2775021	CP4-57 prophage; uncharacterized protein YfjW	yfjW // b2642 // ECK2638		inner membrane
yfjX	b2643	2775919	2776377	CP4-57 prophage; putative antirestriction protein YfjX	yfjX // b2643 // ECK2639		cytosol
yfjY	b2644	2776386	2776868	CP4-57 prophage; RadC-like JAB domain-containing protein YfjY	yfjY // b2644 // ECK2640		cytosol
yfjZ	b2645	2777115	2777432	CP4-57 prophage; putative antitoxin of the YpjF-YfjZ toxin-antitoxin system	yfjZ // b2645 // ECK2642		cytosol
ygaC	b2671	2799650	2799994	DUF2002 domain-containing protein YgaC	ygaC // b2671 // ECK2665		cytosol
ygaH	b2683	2810344	2810679	L-valine exporter, YgaH component	ygaH // b2683 // ECK2677	L-valine exporter	inner membrane
ygaM	b2672	2800146	2800475	DUF883 domain-containing protein YgaM	ygaM // b2672 // ECK2666		inner membrane // cytosol
ygaP	b2668	2797520	2798044	thiosulfate sulfurtransferase YgaP	ygaP // b2668 // ECK2662	thiosulfate sulfurtransferase YgaP	inner membrane
ygaQ	b4462	2786397	2788649	putative uncharacterized protein YgaQ	ygaQ // G7393 // yqaD // G7392 // G7391 // ygaR // b2656 // b2655 // yqaC // b2654 // b2657 // b2658 // b4462 // ECK2649		
ygaV	b2667	2797211	2797510	putative DNA-binding transcriptional regulator YgaV	ygaV // b2667 // ECK2661		cytosol
ygaY	b2681	2808316	2809493	putative transporter YgaY, N-terminal fragment	ygaY // ygaX // b2680 // ECK2675 // b2681 // ECK2674		inner membrane
ygaZ	b2682	2809617	2810354	L-valine exporter, YgaZ component	ygaZ // b2682 // ECK2676	L-valine exporter	inner membrane
ygbA	b2732	2856453	2856806	protein YgbA	ygbA // b2732 // ECK2727		
ygbE	b2749	2873014	2873337	DUF3561 domain-containing inner membrane protein YgbE	ygbE // b2749 // ECK2744		inner membrane
ygbI	b2735	2860467	2861234	DNA-binding transcriptional repressor YgbI	ygbI // b2735 // ECK2730		cytosol
ygbJ	b2736	2861430	2862338	putative L-threonate dehydrogenase	ygbJ // b2736 // ECK2731		cytosol
ygbK	b2737	2862335	2863501	putative 3-oxo-tetronate kinase YgbK	ygbK // b2737 // ECK2732		membrane
ygbL	b2738	2863593	2864231	putative 3-oxo-tetronate 4-phosphate decarboxylase YgbL	ygbL // b2738 // ECK2733		cytosol
ygbM	b2739	2864236	2865012	putative 2-oxo-tetronate isomerase YgbM	ygbM // b2739 // ECK2734		cytosol
ygbN	b2740	2865101	2866465	putative transporter YgbN	ygbN // b2740 // ECK2735		inner membrane
ygcE	b2776	2901896	2903374	putative sugar kinase YgcE	ygcE // b2776 // ECK2770		cytosol
ygcG	b2778	2905711	2906583	TPM domain-containing protein YgcG	ygcG // b2778 // ECK2772		inner membrane
ygcN	b2766	2892657	2893928	putative oxidoreductase with FAD/NAD(P)-binding domain	ygcN // b2766 // ECK2761		inner membrane // cytosol
ygcO	b2767	2893919	2894179	putative 4Fe-4S cluster-containing protein	ygcO // b2767 // ECK2762		cytosol
ygcP	b2768	2894196	2894771	putative anti-terminator regulatory protein	ygcP // b2768 // ECK2763		cytosol
ygcQ	b2769	2894919	2895779	putative flavoprotein	ygcQ // b2769 // ECK2764		membrane
ygcR	b2770	2895776	2896555	putative flavoprotein	ygcR // b2770 // ECK2765		inner membrane // cytosol
ygcS	b2771	2896533	2897870	putative transporter YgcS	ygcS // b2771 // ECK2766		inner membrane
ygcU	b4463	2897964	2899418	putative FAD-containing dehydrogenase	ygcU // ygcT // b2772 // ygcV // b2773 // b4463 // ECK2767		cytosol
ygcW	b2774	2899488	2900273	putative deoxygluconate dehydrogenase	ygcW // b2774 // ECK2768		cytosol
ygdB	b2824	2962749	2963156	DUF2509 domain-containing protein YgdB	ygdB // b2824 // ECK2820		membrane
ygdD	b2807	2941236	2941631	DUF423 domain-containing inner membrane protein YgdD	ygdD // b2807 // ECK2802		inner membrane
ygdG	b2798	2931055	2931810	flap endonuclease	ygdG // xni // exo // b2798 // ECK2793		cytosol
ygdI	b2809	2942918	2943145	DUF903 domain-containing lipoprotein YgdI	ygdI // b2809 // ECK2805		inner membrane // periplasmic space
ygdQ	b2832	2970420	2971133	PF03741 family inner membrane protein YgdQ	ygdQ // b2832 // ECK2828		inner membrane
ygdR	b2833	2971271	2971489	DUF903 domain-containing lipoprotein YgdR	ygdR // b2833 // ECK2829		inner membrane // periplasmic space
ygdT	b4610	2969330	2969476	hypothetical protein YgdT	ygdT // b4610 // ECK4419		membrane
ygeA	b2840	2979943	2980635	amino acid racemase YgeA	ygeA // b2840 // ECK2838	amino acid racemase YgeA	cytosol
ygeF	b2850	2990554	2991043	protein YgeF	ygeF // b2850 // ECK2848		
ygeG	b2851	2991268	2991759	TPR repeat-containing putative chaperone YgeG	ygeG // b2851 // ECK2849		cytosol
ygeH	b2852	2992094	2993470	putative transcriptional regulator YgeH	ygeH // b2852 // ECK2850		cytosol
ygeI	b2853	2993638	2993856	protein YgeI	ygeI // b2853 // ECK2851		
ygeK	b2855	2994460	2994903	putative DNA-binding transcriptional regulator YgeK	ygeK // b2855 // ECK2853		cytosol
ygeL	b2856	2994937	2995092	protein YgeL	ygeL // b2856 // ECK2854		cytosol
ygeN	b2858	2995314	2996020	putative type III secretion system protein YgeN	ygeN // ygeM // b2857 // ECK2856 // b2858 // ECK2855		
ygeO	b2859	2995962	2996360	putative uncharacterized protein YgeO	ygeO // b2859 // ECK2857		cytosol
ygeP	b2862	2997689	2997988	protein YgeP	ygeP // b2862 // ECK2858		cytosol
ygeQ	b2863	2998034	2998828	putative lipoprotein YgeQ	ygeQ // b2863 // ECK2859		inner membrane
ygeV	b2869	3004008	3005786	putative &sigma;<sup>54</sup>-dependent transcriptional regulator YgeV	ygeV // b2869 // ECK2865		cytosol
ygeW	b2870	3006262	3007452	putative carbamoyltransferase YgeW	ygeW // b2870 // ECK2866	putative carbamoyltransferase YgeW	cytosol
ygeX	b2871	3007510	3008706	2,3-diaminopropionate ammonia-lyase	ygeX // b2871 // ECK2867	2,3-diaminopropionate ammonia-lyase	cytosol
ygeY	b2872	3008764	3009975	putative peptidase YgeY	ygeY // b2872 // ECK2868		inner membrane // cytosol
ygfB	b2909	3054866	3055444	PF03695 family protein YgfB	ygfB // b2909 // ECK2904		cytosol
ygfF	b2902	3045158	3045901	putative oxidoreductase YgfF	ygfF // yqfD // b2902 // ECK2897		cytosol
srsR	b2921	3066277	3067173	putative DNA-binding transcriptional regulator YgfI	srsR // ygfI // b2921 // ECK2917		cytosol
ygfK	b2878	3016060	3019158	putative oxidoreductase, Fe-S subunit	ygfK // b2878 // ECK2874		cytosol
ygfM	b2880	3020540	3021319	putative oxidoreductase	ygfM // b2880 // ECK2876	predicted xanthine dehydrogenase	cytosol
ygfS	b2886	3028524	3029012	putative electron transport protein YgfS	ygfS // b2886 // ECK2881		inner membrane
ygfT	b2887	3029012	3030931	putative oxidoreductase YgfT	ygfT // b2887 // ECK2882		cytosol
ygfX	b2896	3040416	3040823	protein YgfX	ygfX // cptA // b2896 // ECK2891		inner membrane
ygfZ	b2898	3041313	3042293	folate-binding protein	ygfZ // yzzW // b2898 // ECK2893		cytosol
yggC	b2928	3073976	3074689	P-loop NTPase domain-containing protein YggC	yggC // b2928 // ECK2924		cytosol
yggE	b2922	3067340	3068080	DUF541 domain-containing protein YggE	yggE // b2922 // ECK2918		periplasmic space // inner membrane
yggF	b2930	3075217	3076182	fructose 1,6-bisphosphatase YggF	yggF // yggK // b2930 // ECK2926	fructose 1,6-bisphosphatase YggF	cytosol
yggI	b2944	3089755	3090252	protein YggI	yggI // sprT // b2944 // ECK2939		cytosol
yggL	b2959	3101807	3102133	putative ribosome assembly factor YggL	yggL // b2959 // ECK2954		cytosol
yggM	b2956	3098558	3099565	DUF1202 domain-containing protein YggM	yggM // b2956 // ECK2951		periplasmic space
yggN	b2958	3100904	3101623	DUF2884 domain-containing protein YggN	yggN // ecfF // b2958 // ECK2953		
yggP	b4465	3076179	3077456	putative zinc-binding dehydrogenase YggP	yggP // b2931 // b2932 // b4465 // ECK2927		cytosol
yggR	b2950	3094100	3095080	Type II/IV secretion system family protein	yggR // b2950 // ECK2945		cytosol
yggS	b2951	3095098	3095802	PLP homeostasis protein	yggS // b2951 // ECK2946		cytosol
yggT	b2952	3095820	3096386	uncharacterized protein YggT	yggT // b2952 // ECK2947		inner membrane
yggU	b2953	3096383	3096673	DUF167 domain-containing protein YggU	yggU // b2953 // ECK2948		cytosol
yggX	b2962	3104093	3104368	putative Fe<sup>2+</sup>-trafficking protein	yggX // b2962 // ECK2957		cytosol
yghA	b3003	3149662	3150546	NADP<sup>+</sup>-dependent aldehyde reductase	yghA // b3003 // ECK2997		cytosol
yghB	b3009	3153563	3154222	DedA family protein YghB	yghB // b3009 // ECK3001		inner membrane
yghD	b2968	3110590	3111126	putative type II secretion system M-type protein YghD	yghD // ecfC // b2968 // ECK2963		inner membrane
yghE	b2969	3111128	3111988	putative type II secretion system L-type protein YghE	yghE // ecfB // b2969 // ECK2964		cell wall // inner membrane
yghF	b2970	3112054	3113049	putative type II secretion system C-type protein YghF	yghF // ecfA // b2970 // ECK2965		inner membrane
yghG	b2971	3113067	3113477	lipoprotein YghG	yghG // b2971 // ECK2966		outer membrane
yghJ	b4466	3114550	3119112	putative lipoprotein YghJ	yghJ // b2974 // b2973 // sslE // b4466 // ECK2968		inner membrane
yghO	b2981	3129043	3130215	putative DNA-binding transcriptional regulator YghO	yghO // b2981 // ECK2976		
yghQ	b2983	3131341	3132408	putative transport protein YghQ	yghQ // b2983 // ECK2977		inner membrane
yghR	b2984	3132454	3133212	putative ATP-binding protein YghR	yghR // b2984 // ECK2978		cytosol
yghS	b2985	3133244	3133957	putative ATP-binding protein YghS	yghS // b2985 // ECK2979		cytosol
yghT	b2986	3134131	3134823	putative ATP-binding protein YghT	yghT // b2986 // ECK2980		cytosol
yghU	b2989	3138727	3139593	disulfide reductase / organic hydroperoxide reductase	yghU // b2989 // ECK2983	disulfide reductase / organic hydroperoxide reductase	cytosol
yghW	b2998	3146450	3146737	DUF2623 domain-containing protein YghW	yghW // b2998 // ECK2992		
yghX	b4658	3146856	3147691	putative hydrolase fragment	yghX // b2999 // yghY // b3000 // ECK2994 // orf_f136 // b4658 // ECK2993		
ygiA	b3036	3179596	3179856		ygiA // b3036 // ECK3027		
ygiB	b3037	3179744	3180415	DUF1190 domain-containing protein YgiB	ygiB // b3037 // ECK3028		outer membrane
ygiC	b3038	3180421	3181581	putative acid&mdash;amine ligase YgiC	ygiC // b3038 // ECK3029		cytosol
ygiD	b3039	3181619	3182434	4,5-DOPA dioxygenase extradiol	ygiD // b3039 // ECK3030		cytosol
ygiF	b3054	3199664	3200965	inorganic triphosphatase	ygiF // b3054 // ECK3044		cytosol
ygiL	b3043	3185414	3185965	putative fimbrial protein YgiL	ygiL // b3043 // ECK3034		pilus // extracellular space
ygiM	b3055	3201207	3201827	putative signal transduction protein (SH3 domain)	ygiM // ecfG // htrG // b3055 // ECK3045		cytosol // inner membrane
ygiN	b3029	3173142	3173456	putative quinol monooxygenase YgiN	ygiN // b3029 // ECK3020	putative quinol monooxygenase YgiN	cytosol
ygiQ	b4469	3158927	3161146	radical SAM superfamily protein YgiQ	ygiQ // ygiR // b3016 // b3015 // b4469 // ECK3007		cytosol
ygiS	b3020	3166111	3167718	putative deoxycholate binding periplasmic protein	ygiS // b3020 // ECK3011		inner membrane // periplasmic space
ygiV	b3023	3168749	3169231	DNA-binding transcriptional repressor YgiV	ygiV // b3023 // ECK3014		cytosol
ygiW	b3024	3169284	3169676	BOF family protein YgiW	ygiW // visP // b3024 // ECK3015		periplasmic space
ygiZ	b3027	3171879	3172211	DUF2645 domain-containing inner membrane protein YgiZ	ygiZ // b3027 // ECK3018		inner membrane
ygjH	b3074	3220915	3221247	putative tRNA-binding protein YgjH	ygjH // b3074 // ECK3064	putative tRNA-binding protein YgjH	cytosol
ygjI	b3078	3226234	3227667	putative transporter YgjI	ygjI // b3078 // ECK3068		inner membrane
ygjJ	b3079	3227801	3228871	protein YgjJ	ygjJ // b3079 // ECK3069		
ygjK	b3080	3228888	3231239	glycoside hydrolase	ygjK // b3080 // ECK3070		periplasmic space
ygjP	b3085	3235960	3236463	putative metal-dependent hydrolase	ygjP // b3085 // ECK3075		cytosol
ygjQ	b3086	3236540	3237232	DUF218 domain-containing protein YgjQ	ygjQ // b3086 // ECK3076		inner membrane
ygjR	b3087	3237311	3238297	putative oxidoreductase YgjR	ygjR // b3087 // ECK3077		membrane
ygjV	b3090	3241193	3241744	inner membrane protein	ygjV // b3090 // ECK3081		inner membrane
yhaB	b3120	3267854	3268393	protein YhaB	yhaB // b3120 // ECK3109		cytosol
yhaC	b3121	3268415	3269602	uncharacterized protein YhaC	yhaC // b3121 // ECK3110		cytosol
yhaH	b3103	3252304	3252669	putative inner membrane protein	yhaH // b3103 // ECK3094		inner membrane
yhaI	b3104	3252911	3253267	putative inner membrane protein	yhaI // b3104 // ECK3095		inner membrane
yhaJ	b3105	3253318	3254214	DNA-binding transcriptional activator YhaJ	yhaJ // b3105 // ECK3096		cytosol
yhaK	b3106	3254319	3255020	bicupin-related protein	yhaK // b3106 // ECK3097		cytosol
yhaL	b3107	3255043	3255207	uncharacterized protein YhaL	yhaL // b3107 // ECK3098		
yhaV	b3130	3277337	3277801	ribosome-dependent mRNA interferase toxin YhaV	yhaV // b3130 // ECK3118	YhaV-PrlF toxin-antitoxin complex	
yhbE	b3184	3331770	3332735	putative transporter YhbE	yhbE // b3184 // ECK3173		inner membrane
yhbO	b3153	3298974	3299492	protein/nucleic acid deglycase 2	yhbO // b3153 // ECK3141		cytosol
yhbP	b3154	3299472	3299915	putative FMN binding protein YhbP	yhbP // b3154 // ECK3142		cytosol
yhbQ	b3155	3299966	3300268	DNA damage response nuclease YhbQ	yhbQ // b3155 // ECK3143		cytosol
yhbS	b3156	3300255	3300758	putative <i>N</i>-acetyltransferase YhbS	yhbS // b3156 // ECK3144		cytosol
yhbW	b3160	3303448	3304455	putative luciferase-like monooxygenase YhbW	yhbW // b3160 // ECK3148		cytosol
yhbX	b3173	3319988	3321613	putative hydrolase YhbX	yhbX // b3173 // ECK3162		inner membrane
yhbY	b3180	3327790	3328083	ribosome assembly factor YhbY	yhbY // b3180 // ECK3169		cytosol
yhcA	b3215	3362112	3362786	putative fimbrial chaperone YhcA	yhcA // b3215 // ECK3205		cytosol // periplasmic space
yhcC	b3211	3353121	3354050	radical SAM family oxidoreductase YhcC	yhcC // b3211 // ECK3201		cytosol
yhcD	b3216	3362807	3365188	putative fimbrial usher protein YhcD	yhcD // b3216 // ECK3206		outer membrane
yhcE	b4569			putative uncharacterized protein YhcE	yhcE // b3217 // b4549 // b4569 // ECK3207		membrane
yhcF	b3219	3366926	3367642	DUF1120 domain-containing protein YhcF	yhcF // b3219 // ECK3208		membrane
yhcG	b3220	3367827	3368954	DUF1016 domain-containing protein YhcG	yhcG // b3220 // ECK3209		cytosol
yhcN	b3238	3385538	3385801	DUF1471 domain-containing stress-induced protein YhcN	yhcN // b3238 // ECK3227		periplasmic space // cytosol
yhcO	b3239	3385857	3386129	putative barnase inhibitor	yhcO // b3239 // ECK3228		cytosol
yhdE	b3248	3397785	3398378	nucleoside triphosphate pyrophosphatase YhdE	yhdE // b3248 // ECK3236	nucleoside triphosphate pyrophosphatase YhdE	cytosol
yhdH	b3253	3403484	3404458	acrylyl-CoA reductase	yhdH // acuI // b3253 // ECK3241	acrylyl-CoA reductase	cytosol
yhdJ	b3262	3411653	3412537	DNA adenine methyltransferase	yhdJ // b3262 // ECK3249		cytosol
yhdN	b3293	3439141	3439509	DUF1992 domain-containing protein YhdN	yhdN // b3293 // ECK3280		cytosol
yhdP	b4472	3392458	3396258	phospholipid transport factor YhdP	yhdP // b3246 // yhdR // yhdQ // b3245 // b4472 // ECK3234		inner membrane
yhdT	b3257	3407375	3407617	DUF997 domain-containing protein YhdT	yhdT // b3257 // ECK3244		inner membrane
yhdU	b3263	3412621	3412800	DUF2556 domain-containing protein YhdU	yhdU // b3263 // ECK3250		inner membrane
yhdV	b3267	3418390	3418611	lipoprotein YhdV	yhdV // b3267 // ECK3254		inner membrane
yhdW	b3268	3419042	3420066	putative ABC transporter periplasmic binding protein YhdW	yhdW // b3268 // ECK3255	putative transport complex, ABC superfamily	periplasmic space // inner membrane
yhdX	b3269	3420134	3421315	putative ABC transporter membrane subunit YhdX	yhdX // b3269 // ECK3256	putative transport complex, ABC superfamily	inner membrane
yhdY	b3270	3421325	3422428	putative ABC transporter membrane subunit YhdY	yhdY // b3270 // ECK3257	putative transport complex, ABC superfamily	inner membrane
yhdZ	b3271	3422436	3423194	putative ABC transporter ATP-binding subunit YhdZ	yhdZ // b3271 // ECK3258	putative transport complex, ABC superfamily	inner membrane // cytosol
yheO	b3346	3475718	3476440	DNA-binding transcriptional regulator YheO	yheO // b3346 // ECK3333		cytosol
yheS	b3352	3481289	3483202	putative ATP-binding protein YheS	yheS // b3352 // ECK3340		inner membrane // cytosol
yheT	b3353	3483202	3484224	putative hydrolase YheT	yheT // b3353 // ECK3341		inner membrane // cytosol
yheU	b3354	3484218	3484436	PF06794 family protein YheU	yheU // b3354 // ECK3342		cytosol
yheV	b4551	3478592	3478792	DUF2387 domain-containing protein YheV	yheV // b4551 // ECK3337		cytosol
yhfA	b3356	3485414	3485818	OsmC family protein YhfA	yhfA // b3356 // ECK3344		cytosol
yhfG	b3362	3491453	3491620	DUF2559 domain-containing protein YhfG	yhfG // ficA // b3362 // ECK3350	FicT-FicA complex	
yhfK	b3358	3486791	3488893	putative transporter YhfK	yhfK // b3358 // ECK3346		inner membrane
yhfL	b3369	3499448	3499615	DUF4223 domain-containing lipoprotein YhfL	yhfL // b3369 // ECK3357		inner membrane
yhfS	b3376	3504935	3506020	putative aminotransferase YhfS	yhfS // b3376 // ECK3363		cytosol
yhfT	b3377	3506032	3507336	uncharacterized protein YhfT	yhfT // b3377 // ECK3364		inner membrane
yhfU	b3378	3507348	3507701	DUF2620 domain-containing protein YhfU	yhfU // b3378 // ECK3365		membrane
yhfW	b3380	3508587	3509813	putative mutase YhfW	yhfW // b3380 // ECK3367		cytosol
yhfX	b3381	3509813	3510976	putative PLP-binding protein YhfX	yhfX // b3381 // ECK3368		cytosol
yhfY	b3382	3511060	3511422	PRD domain-containing protein YhfY	yhfY // b3382 // ECK3369		cytosol
yhfZ	b3383	3511439	3512344	putative DNA-binding transcriptional regulator YhfZ	yhfZ // b3383 // ECK3370		cytosol
yhgE	b3402	3530715	3532439	putative transport protein YhgE	yhgE // b3402 // ECK3389		inner membrane
yhgF	b3407	3537385	3539706	putative RNA-binding protein YhgF	yhgF // b3407 // ECK3394		cytosol
yhgH	b3413	3544882	3545565	DNA utilization protein YhgH	yhgH // gntX // b3413 // ECK3400		cytosol
yhgN	b3434	3575071	3575664	MarC family putative inner membrane protein YhgN	yhgN // b3434 // ECK3420		inner membrane
yhgO	b4788	3573660	3573701	protein YhgO	yhgO // b4788 // ECK4645		membrane
yhgP	b4789	3573679	3573708	protein YhgP	yhgP // b4789 // ECK4646		membrane
yhhA	b3448	3586943	3587383	DUF2756 domain-containing protein YhhA	yhhA // b3448 // ECK3432		
yhhH	b3483	3623399	3623782	PF15631 family protein YhhH	yhhH // b3483 // ECK3467		inner membrane
yhhI	b3484	3624378	3625514	putative transposase	yhhI // b3484 // ECK3469		cytosol
yhhJ	b3485	3625679	3626803	ABC transporter family protein YhhJ	yhhJ // b3485 // ECK3470		inner membrane
yhhL	b3466	3604979	3605248	DUF1145 domain-containing protein YhhL	yhhL // b3466 // ECK3450		inner membrane
yhhM	b3467	3605251	3605610	DUF2500 domain-containing protein YhhM	yhhM // b3467 // ECK3451		inner membrane
yhhN	b3468	3605751	3606377	PF07947 family protein YhhN	yhhN // b3468 // ECK3452		inner membrane
yhhQ	b3471	3609217	3609882	queuosine precursor transporter	yhhQ // b3471 // ECK3455		inner membrane
yhhS	b3473	3610516	3611733	putative transporter YhhS	yhhS // b3473 // ECK3457		inner membrane
yhhT	b3474	3611865	3612914	putative transporter YhhT	yhhT // b3474 // ECK3458		inner membrane
yhhW	b3439	3578950	3579645	quercetin 2,3-dioxygenase	yhhW // b3439 // ECK3424		cytosol
yhhX	b3440	3579768	3580805	putative oxidoreductase YhhX	yhhX // b3440 // ECK3425		cytosol
yhhY	b3441	3581138	3581626	<i>N</i>-acetyltransferase YhhY	yhhY // b3441 // ECK3427		cytosol
yhhZ	b3442	3581863	3583041	putative endonuclease YhhZ	yhhZ // b3442 // ECK3428		extracellular space
yhiD	b3508	3655255	3655902	inner membrane protein YhiD	yhiD // yhhE // b3508 // ECK3492		inner membrane
yhiI	b3487	3629535	3630602	putative membrane fusion protein YhiI	yhiI // b3487 // ECK3472		inner membrane
yhiJ	b3488	3630968	3632590	DUF4049 domain-containing protein YhiJ	yhiJ // b3488 // ECK3473		cytosol
yhiL	b4660	3632852	3634458	DUF4049 domain-containing protein YhiL	yhiL // b3490 // b3489 // ECK3474 // yhiK // b4660 // ECK3475		
yhiM	b3491	3634841	3635893	inner membrane protein YhiM	yhiM // b3491 // ECK3476		inner membrane
yhiN	b3492	3636208	3637410	putative oxidoreductase YhiN	yhiN // b3492 // ECK3477		cytosol
yhiS	b3504			putative uncharacterized protein YhiS	yhiS // b3504 // ECK3489		membrane
yhiY	b4790	3630665	3630778	protein YhiY	yhiY // b4790 // ECK4647		membrane
yhjB	b3520	3671292	3671894	putative DNA-binding transcriptional regulator YhjB	yhjB // b3520 // ECK3505		cytosol
yhjD	b3522	3673362	3674375	putative transporter YhjD	yhjD // b3522 // ECK3507		inner membrane
yhjE	b3523	3674786	3676108	putative transporter YhjE	yhjE // b3523 // ECK3508		inner membrane
yhjG	b3524	3676290	3678350	AsmA family protein YhjG	yhjG // yhjF // b3524 // ECK3509		inner membrane
yhjJ	b3527	3680444	3681940	peptidase M16 family protein YhjJ	yhjJ // b3527 // ECK3512		periplasmic space
yhjR	b3535	3695997	3696185	PF10945 family protein YhjR	yhjR // bcsR // b3535 // ECK3520		
yhjV	b3539	3700563	3701834	putative transporter YhjV	yhjV // b3539 // ECK3526		inner membrane
yhjX	b3547	3710799	3712007	putative transporter YhjX	yhjX // b3547 // ECK3534		inner membrane
yhjY	b3548	3712236	3712934	putative outer membrane protein YhjY	yhjY // b3548 // ECK3535		extracellular space // membrane
yiaA	b3562	3726924	3727361	PF05360 family inner membrane protein YiaA	yiaA // b3562 // ECK3551		inner membrane
yiaB	b3563	3727407	3727748	PF05360 family inner membrane protein YiaB	yiaB // b3563 // ECK3552		inner membrane
yiaC	b3550	3713652	3714092	peptidyl-lysine <i>N</i>-acetyltransferase YiaC	yiaC // b3550 // ECK3537		inner membrane // cytosol
yiaD	b3552	3716547	3717206	PF13488 family lipoprotein YiaD	yiaD // b3552 // ECK3539		inner membrane // outer membrane
yiaF	b3554	3718334	3719044	DUF3053 domain-containing protein YiaF	yiaF // b3554 // ECK3541		
yiaG	b3555	3719478	3719768	putative DNA-binding transcriptional regulator YiaG	yiaG // b3555 // ECK3542		cytosol
yiaK	b3575	3742733	3743731	2,3-diketo-L-gulonate reductase	yiaK // b3575 // ECK3564	2,3-diketo-L-gulonate reductase	cytosol
yiaL	b3576	3743743	3744210	DUF386 domain-containing protein YiaL	yiaL // b3576 // ECK3565		cytosol
yiaM	b3577	3744328	3744801	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit	yiaM // b3577 // ECK3566	2,3-diketo-L-gulonate:Na+ symporter - periplasmic binding protein // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit	inner membrane
yiaN	b3578	3744804	3746081	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - membrane subunit	yiaN // b3578 // ECK3567	2,3-diketo-L-gulonate:Na+ symporter - periplasmic binding protein // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit	inner membrane
yiaO	b3579	3746094	3747080	2,3-diketo-L-gulonate:Na<sup>+</sup> symporter - periplasmic binding protein	yiaO // b3579 // ECK3568	2,3-diketo-L-gulonate:Na+ symporter - periplasmic binding protein // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit // 2,3-diketo-L-gulonate:Na+ symporter - membrane subunit	periplasmic space // membrane
yiaT	b3584	3751128	3751868	outer membrane protein YiaT	yiaT // b3584 // ECK3573		outer membrane
yiaU	b3585	3751992	3752966	putative DNA-binding transcriptional regulator YiaU	yiaU // b3585 // ECK3574		cytosol
yiaV	b3586	3752963	3754099	putative membrane fusion protein YiaV	yiaV // b3586 // ECK3575		inner membrane
yiaW	b3587	3754105	3754428	DUF3302 domain-containing protein YiaW	yiaW // b3587 // ECK3576		inner membrane
yiaY	b3589	3756676	3757827	L-threonine dehydrogenase	yiaY // b3589 // ECK3578		cytosol
yibA	b3594	3766337	3767179	putative lyase containing HEAT-repeat	yibA // b3594 // ECK3583		cytosol
yibF	b3592	3761347	3761955	glutathione transferase-like protein YibF	yibF // b3592 // ECK3581		cytosol
yibG	b3596	3768177	3768638	tetratricopeptide-like domain-containing protein YibG	yibG // b3596 // ECK3585		
yibH	b3597	3770243	3771379	inner membrane protein YibH	yibH // b3597 // ECK3586		inner membrane
yibI	b3598	3771382	3771744	DUF3302 domain-containing protein YibI	yibI // b3598 // ECK3587		inner membrane
yibJ	b3595	3767221	3767922	putative RHS domain-containing protein YibJ	yibJ // rhsJ // b3595 // ECK3584		cytosol
yibL	b3602	3776665	3777027	DUF2810 domain-containing protein YibL	yibL // b3602 // ECK3592		cytosol
yibN	b3611	3784584	3785015	putative sulfurtransferase YibN	yibN // b3611 // ECK3601		inner membrane // cytosol
yibQ	b3614	3788101	3789060	divergent polysaccharide deacetylase domain-containing protein YibQ	yibQ // b3614 // ECK3604		
yibS	b4650	3768639	3768890	RHS family protein YibS	yibS // b4650 // ECK4440		
yibT	b4554	3776171	3776380	protein YibT	yibT // b4554 // ECK3591		
yibU	b4652	3769948	3770146		yibU // b4652 // ECK4449		
yibV	b4615	3769345	3769680	PF15596 family protein YibV	yibV // b4615 // ECK4424		
yibW	b4651	3768892	3769256		yibW // b4651 // ECK4450		
yibX	b4795	3797772	3798014	protein YibX-S // protein YibX	yibX // b4795 // ECK4652		membrane
yibY	b4796	3798039	3798149	protein YibY	yibY // b4796 // ECK4653		membrane
